Locality,type 0f crime,date,time,area of the locality,sloved?,total police officers,
MAURYA ENCLAVE,theft,27/10/14,14:41,5.879256003,1,75,
NANGLOI,theft,09/11/13,7:28,2.253261514,1,66,
KHYALA,theft,11/09/14,13:42,2.093069914,1,70,
SEEMAPURI,theft,19/10/12,11:49,4.731868997,1,43,
KOTALA MUBARAK PUR,theft,22/09/13,5:36,1.628367164,0,90,
BURARI,theft,23/11/16,12:12,11.3338763,0,26,
MALVIYA NAGAR,theft,29/05/12,4:06,1.379853572,0,5,
HAUZ KHAS,theft,18/08/15,5:11,2.436526458,1,2,
KAMLA MARKET,theft,16/10/15,3:02,3.095888323,0,25,
BHARAT NAGAR,theft,23/03/15,7:32,1.939521818,0,16,
GREATER KAILASH,theft,27/03/12,0:22,3.793564843,1,22,
MIANWALI NAGAR,theft,24/03/14,11:30,1.729847853,1,7,
PUNJABI BAGH,theft,10/05/16,13:30,2.57731064,0,70,
TILAK MARG,theft,23/01/14,5:31,3.748441999,0,86,
SAGARPUR,theft,01/07/12,3:58,1.283551172,0,91,
SEELAMPUR,theft,30/2/2013,19:58,1.57623738,1,3,
RANHOLA,robbery,06/07/15,14:28,11.28382351,0,93,
AMAR COLONY,theft,05/03/12,14:51,1.505936692,1,81,
UTTAM NAGAR,theft,19/10/13,15:35,2.747375479,0,85,
KHYALA,robbery,02/05/13,22:09,2.093069914,0,63,
MODEL TOWN,theft,08/06/16,20:36,2.689157085,0,21,
G.T.B. ENCLAVE,theft,14/02/15,2:36,2.874304374,0,17,
ROHINI SOUTH,theft,24/10/12,0:31,2.649542395,0,97,
TUGLAK ROAD,theft,18/01/12,5:46,6.857849293,1,99,
PREETVIHAR,theft,17/09/15,1:00,2.272578698,0,67,
SONIA VIHAR,assualt_murders,25/07/12,11:34,4.453887398,1,41,
JANAK PURI,rape,28/09/16,21:10,2.051115234,0,47,
FATEHPUR BERI,robbery,17/05/15,2:59,35.89559495,0,69,
MUKHERJI NAGAR,theft,15/02/16,13:20,6.149745104,1,20,
VIKAS PURI,theft,01/02/12,21:10,1.247661874,1,93,
MANDIR MARG,theft,19/01/12,21:09,9.889059631,0,37,
KN KATJU MARG,theft,23/09/12,3:54,8.251478933,0,14,
RAJOURI GARDEN,theft,29/11/13,21:54,1.731624057,1,85,
KASHMERE GATE,theft,17/09/12,1:43,1.627909974,1,72,
JAGATPURI,theft,03/11/13,16:19,1.021961219,1,37,
JAFFARPUR KALAN,robbery,09/03/13,20:38,70.46948722,0,63,
BAWANA,robbery,18/03/13,14:32,40.32792292,0,96,
JAGATPURI,theft,21/10/12,18:57,1.021961219,0,75,
SULTAN PURI,theft,09/01/12,12:52,1.975070373,1,62,
NANDNAGARI,theft,10/03/12,19:33,2.02815697,0,36,
DELHI CANTT,theft,26/10/15,19:00,42.83635341,0,22,
PUNJABI BAGH,assualt_murders,24/05/15,14:58,2.57731064,0,64,
PRASHANT VIHAR,sexual_harassement,28/05/14,0:29,2.076678927,0,23,
AMAN VIHAR,robbery,15/09/15,7:09,3.296887934,1,87,
NABI KARIM,theft,03/08/13,6:44,1.799866446,0,71,
TILAK MARG,theft,22/05/15,6:55,3.748441999,0,17,
SUBHASH PLACE,theft,17/06/12,12:19,0.885072498,1,2,
TUGLAK ROAD,theft,06/05/13,12:10,6.857849293,1,74,
PALAM VILLAGE,theft,29/06/12,6:04,1.326803624,1,72,
NARAINA,theft,22/07/12,10:11,14.93729349,0,62,
NAJAFGARH,theft,16/11/13,8:05,8.461597124,0,39,
JAHANGIR PURI,theft,19/01/16,1:56,2.463668046,0,75,
KAMLA MARKET,theft,30/2/2012,14:14,3.095888323,0,72,
SWARUP NAGAR,theft,03/09/13,6:26,12.08811457,1,51,
SUBZIMANDI,theft,05/05/15,22:18,2.975208719,1,51,
KALYANPURI,assualt_murders,29/02/12,5:16,0.878452779,0,60,
ANANDVIHAR,theft,16/06/12,20:02,4.558969692,0,65,
SHAKARPUR,theft,28/04/16,3:27,3.019451766,1,95,
CHHAWLA,theft,16/06/13,0:36,26.30944559,0,4,
DWARKA SEC-23,theft,03/06/12,6:36,30.06854798,1,1,
BINDAPUR,theft,18/09/13,14:25,2.747375479,1,54,
ANANDVIHAR,theft,04/06/13,17:54,4.558969692,1,93,
MANDIR MARG,theft,06/11/12,14:05,9.889059631,1,97,
SOUTH CAMPUS,theft,12/09/16,8:28,4.518856098,1,8,
NANGLOI,sexual_harassement,18/07/15,5:04,2.253261514,0,32,
SEELAMPUR,theft,29/06/15,18:52,1.57623738,1,59,
MANDAWALI,theft,25/03/12,8:33,4.995712622,0,56,
BURARI,theft,27/08/12,4:52,11.3338763,0,36,
PATEL NAGAR,theft,26/05/12,6:18,4.104570166,1,91,
BARAKHAMBA ROAD,theft,24/06/14,7:45,3.748441999,0,94,
MALVIYA NAGAR,theft,30/08/14,16:42,1.379853572,1,77,
PUNJABI BAGH,theft,05/03/16,23:28,2.57731064,0,28,
SARITA VIHAR,theft,05/04/12,4:11,7.942774025,1,52,
ANAND PARBAT,robbery,03/07/13,21:22,1.948430286,1,53,
VASANT KUNJ NORTH,theft,07/02/12,20:32,14.1053716,1,18,
FARASH BAZAR,theft,03/05/14,0:32,1.721757744,0,47,
KARAWAL NAGAR,theft,15/02/16,20:38,2.937546578,0,98,
MADHUVIHAR,assualt_murders,09/07/15,13:57,4.995712622,1,41,
PUNJABI BAGH,theft,27/09/16,6:51,2.57731064,0,50,
GANDHI NAGAR,theft,03/06/15,12:11,1.205110776,0,68,
GULABIBAGH,theft,30/06/12,21:58,2.218660178,1,44,
VIKAS PURI,theft,14/09/15,0:54,1.247661874,1,76,
BEGUM PUR,theft,23/10/15,14:30,35.4901909,1,14,
PUNJABI BAGH,theft,17/01/14,10:01,2.57731064,1,49,
JAGATPURI,theft,25/03/14,10:36,1.021961219,0,80,
SHALIMAR BAGH,sexual_harassement,04/01/12,16:10,1.28161156,1,6,
NARELA,theft,01/03/13,3:43,20.33327697,0,49,
MANDIR MARG,theft,20/11/12,1:11,9.889059631,0,1,
SWARUP NAGAR,robbery,03/05/12,12:07,12.08811457,1,84,
PATEL NAGAR,theft,25/11/12,3:54,4.104570166,1,30,
ALIPUR,theft,04/05/12,18:22,51.54547492,1,25,
SADAR BAZAR,theft,29/09/16,17:53,2.975208719,0,27,
JAMIA NAGAR,theft,13/09/15,22:49,7.880690981,0,97,
SAMAYPURBADLI,theft,25/03/13,20:49,3.249865013,0,85,
NABI KARIM,theft,27/05/12,5:57,1.799866446,0,8,
SANGAM VIHAR,theft,23/09/15,9:12,3.10572333,1,49,
MALVIYA NAGAR,theft,17/05/16,8:51,1.379853572,0,4,
SONIA VIHAR,theft,30/07/16,11:13,4.453887398,0,71,
KASHMERE GATE,theft,14/02/13,6:43,1.627909974,0,88,
JANAK PURI,theft,20/01/15,12:31,2.051115234,1,72,
CONNAUGHT PLACE,theft,02/01/12,18:54,5.266891996,1,99,
SARITA VIHAR,theft,14/05/13,22:59,7.942774025,0,67,
MAHENDRA PARK,theft,28/11/12,13:02,2.463668046,1,57,
HARSH VIHAR,theft,27/04/15,14:58,2.572204895,0,84,
SUBHASH PLACE,theft,13/10/14,18:57,0.885072498,0,41,
JAHANGIR PURI,robbery,17/06/15,1:16,2.463668046,0,22,
FATEHPUR BERI,theft,15/11/14,21:43,35.89559495,1,53,
MANSAROVAR PARK,assualt_murders,04/09/12,15:58,2.231365619,0,50,
RAJINDER NAGAR,theft,09/02/13,0:41,3.013302528,1,21,
HAUZQAZI,theft,20/04/14,5:17,3.095888323,1,98,
PREETVIHAR,theft,18/02/16,6:56,2.272578698,0,66,
ANAND PARBAT,assualt_murders,01/09/16,3:26,1.948430286,1,8,
MIANWALI NAGAR,theft,24/09/12,20:11,1.729847853,0,23,
DEFENCE COLONY,assualt_murders,25/09/15,4:18,2.480276534,1,8,
SEELAMPUR,theft,20/01/12,3:46,1.57623738,1,4,
GEETA COLONY,theft,04/07/15,19:27,1.021961219,1,98,
GOVIND PURI,theft,12/05/12,7:59,8.99271206,0,14,
NEB SARAI,theft,03/10/12,0:35,8.344724019,0,11,
PREETVIHAR,theft,12/01/13,8:46,2.272578698,1,70,
PARLIAMENT STREET,robbery,08/09/15,17:46,5.266891996,1,32,
RAJOURI GARDEN,robbery,02/11/16,21:08,1.731624057,0,92,
PRASHANT VIHAR,assualt_murders,30/05/16,17:24,2.076678927,0,82,
BARAKHAMBA ROAD,theft,30/03/14,18:45,3.748441999,1,1,
KHYALA,theft,15/01/16,14:01,2.093069914,0,74,
TIMARPUR,theft,22/09/12,4:19,6.149745104,1,7,
RAJOURI GARDEN,theft,14/05/13,5:27,1.731624057,0,55,
PANDAV NAGAR,assualt_murders,01/10/12,10:59,1.470612978,1,85,
KARAWAL NAGAR,theft,20/05/14,7:02,2.937546578,0,84,
ASHOK VIHAR,theft,29/10/16,18:25,3.536288039,0,68,
KRISHNA NAGAR,murder,29/07/13,13:58,1.904048824,1,71,
KOTALA MUBARAK PUR,theft,21/04/14,12:15,1.628367164,0,59,
MANDIR MARG,theft,03/09/15,7:36,9.889059631,0,23,
LODHI COLONY,theft,20/01/15,2:48,2.11696063,1,20,
ADRASH NAGAR,theft,15/10/16,12:52,1.646190527,0,39,
LAHORI GATE,theft,21/05/14,3:42,2.975208719,0,30,
MANDAWALI,theft,11/01/15,2:47,4.995712622,1,30,
MODEL TOWN,theft,25/10/14,22:45,2.689157085,0,29,
UTTAM NAGAR,assualt_murders,03/07/12,11:03,2.747375479,1,61,
MANDAWALI,theft,06/09/12,17:04,4.995712622,0,13,
PUNJABI BAGH,theft,03/02/14,8:13,2.57731064,0,77,
CHANAKYAPURI,theft,08/05/13,20:46,10.99345252,0,21,
DELHI CANTT,theft,03/08/13,10:30,42.83635341,0,42,
MADHUVIHAR,theft,04/02/12,13:26,4.995712622,0,99,
RAJOURI GARDEN,theft,21/11/15,3:21,1.731624057,1,10,
MANSAROVAR PARK,rape,18/02/12,3:54,2.231365619,0,90,
NEW FRIENDS COLONY,theft,12/11/12,11:11,4.04538671,0,15,
NEW ASHOK NAGAR,robbery,04/06/15,14:24,3.300804937,1,66,
SHAHBAD DAIRY,theft,17/01/14,21:19,49.82264953,1,0,
PASCHIM VIHAR,theft,03/02/15,1:51,3.794663797,1,5,
ROOP NAGAR,theft,19/09/12,23:08,1.076492634,0,53,
TILAK NAGAR,theft,28/04/14,8:54,1.622207446,0,3,
SONIA VIHAR,theft,01/02/14,2:02,4.453887398,1,69,
KESHAV PURAM,theft,06/08/13,14:43,1.352844685,1,66,
MANDIR MARG,theft,17/07/16,14:27,9.889059631,0,93,
NAJAFGARH,theft,29/09/13,5:47,8.461597124,1,72,
SAFDARJUNG ENCLAVE,rape,22/10/14,9:29,3.486811523,1,96,
LAHORI GATE,theft,18/09/13,18:18,2.975208719,0,55,
MANSAROVAR PARK,theft,24/02/16,4:47,2.231365619,1,14,
JAFFARPUR KALAN,theft,05/10/13,14:15,70.46948722,0,53,
NIHAL VIHAR,robbery,07/07/12,10:03,3.660010619,1,68,
TUGLAK ROAD,theft,03/10/14,14:54,6.857849293,1,60,
ADRASH NAGAR,theft,05/02/15,13:19,1.646190527,0,48,
NARAINA,rape,12/11/13,18:12,14.93729349,1,81,
PASCHIM VIHAR,theft,21/05/15,18:56,3.794663797,0,15,
ROOP NAGAR,theft,10/05/14,19:53,1.076492634,0,50,
D.B.G ROAD,robbery,13/03/15,10:00,1.643641889,1,26,
AMAN VIHAR,theft,14/04/15,23:14,3.296887934,0,55,
BARA HINDU RAO,murder,26/07/15,4:43,1.749323881,0,65,
AMAR COLONY,sexual_harassement,13/09/14,4:33,1.505936692,1,5,
JAGATPURI,theft,22/05/14,21:29,1.021961219,1,28,
BARAKHAMBA ROAD,theft,29/09/16,20:39,3.748441999,0,33,
SULTAN PURI,theft,03/06/15,4:57,1.975070373,1,83,
TUGLAK ROAD,sexual_harassement,17/06/14,6:51,6.857849293,1,71,
MALVIYA NAGAR,theft,22/07/15,9:38,1.379853572,0,33,
DARYA GANJ,theft,10/09/15,9:33,5.570696132,0,83,
ROOP NAGAR,theft,07/02/15,20:03,1.076492634,1,5,
NAJAFGARH,theft,09/03/16,6:49,8.461597124,1,55,
NIHAL VIHAR,theft,26/06/13,20:20,3.660010619,0,16,
SUBZIMANDI,theft,11/11/13,23:03,2.975208719,1,55,
SWARUP NAGAR,theft,23/08/15,22:35,12.08811457,1,89,
DARYA GANJ,theft,09/05/14,19:14,5.570696132,1,95,
ALIPUR,theft,15/07/16,2:58,51.54547492,0,78,
CHANAKYAPURI,theft,11/02/12,17:25,10.99345252,1,68,
MODEL TOWN,theft,25/10/16,7:04,2.689157085,1,51,
SEELAMPUR,theft,27/02/14,23:07,1.57623738,1,57,
NEW USMANPUR,theft,26/06/13,15:56,3.093393387,0,41,
CIVIL LINES,theft,20/02/13,16:29,4.21554288,0,40,
NIHAL VIHAR,theft,25/02/13,13:02,3.660010619,1,38,
CHANDNI MAHAL,theft,16/09/13,6:21,5.570696132,0,22,
MANDAWALI,theft,27/04/13,17:24,4.995712622,0,81,
VIVEKVIHAR,theft,11/11/12,17:16,4.731868997,1,51,
MEHRAULI,theft,11/11/16,3:09,38.91186678,0,27,
KHYALA,theft,24/07/14,3:04,2.093069914,0,57,
KESHAV PURAM,theft,26/02/14,20:54,1.352844685,0,47,
AMAN VIHAR,theft,20/10/12,4:46,3.296887934,1,39,
BARAKHAMBA ROAD,theft,06/11/14,1:32,3.748441999,0,92,
PALAM VILLAGE,theft,27/06/14,12:42,1.326803624,0,73,
VASANT KUNJ NORTH,robbery,12/11/13,8:38,14.1053716,0,39,
SADAR BAZAR,theft,15/05/12,9:30,2.975208719,1,68,
JAFFARPUR KALAN,theft,21/05/13,16:22,70.46948722,1,35,
SWARUP NAGAR,theft,14/02/13,3:15,12.08811457,0,7,
SUBZIMANDI,theft,09/01/16,0:14,2.975208719,0,16,
MALVIYA NAGAR,theft,15/01/14,8:15,1.379853572,1,1,
MAURICE NAGAR,theft,03/10/16,2:26,6.149745104,1,10,
SARITA VIHAR,theft,23/03/16,15:09,7.942774025,0,44,
SUBZIMANDI,assualt_murders,29/03/12,0:10,2.975208719,0,64,
KAMLA MARKET,theft,21/09/15,20:56,3.095888323,0,86,
SHAKARPUR,theft,21/06/14,15:30,3.019451766,0,99,
PARLIAMENT STREET,theft,18/07/12,17:56,5.266891996,1,32,
NANDNAGARI,theft,04/04/15,10:41,2.02815697,1,87,
PREETVIHAR,theft,28/11/14,13:51,2.272578698,1,78,
GEETA COLONY,theft,03/08/15,4:06,1.021961219,0,43,
NAJAFGARH,theft,05/01/15,14:46,8.461597124,1,0,
BADAR PUR,assualt_murders,02/11/15,12:59,2.116989697,0,21,
GANDHI NAGAR,theft,11/11/12,8:01,1.205110776,1,41,
VASANT KUNJ NORTH,theft,09/05/13,8:56,14.1053716,0,97,
NEW USMANPUR,robbery,17/03/12,8:59,3.093393387,0,89,
JAMA MASJID,theft,02/02/15,23:20,3.817050224,0,11,
I.P. ESTATE,theft,11/04/14,7:13,9.253420865,1,77,
JAGATPURI,theft,18/10/14,15:21,1.021961219,1,48,
KOTALA MUBARAK PUR,theft,11/02/16,15:47,1.628367164,1,95,
MANDAWALI,theft,29/09/13,0:59,4.995712622,0,7,
MAURYA ENCLAVE,assualt_murders,08/10/15,0:15,5.879256003,1,99,
MANDIR MARG,assualt_murders,18/08/12,3:51,9.889059631,1,13,
NEW ASHOK NAGAR,robbery,15/02/15,15:50,3.300804937,0,94,
SAFDARJUNG ENCLAVE,rape,14/11/12,6:55,2.366255942,0,92,
SUNLIGHT COLONY,theft,18/06/13,5:46,2.112193774,0,21,
BINDAPUR,theft,30/01/15,2:32,2.747375479,0,42,
PUNJABI BAGH,sexual_harassement,08/01/13,5:25,2.57731064,0,99,
KHYALA,theft,29/08/13,11:31,2.093069914,1,8,
BARA HINDU RAO,theft,02/03/15,19:19,1.749323881,0,13,
RAJOURI GARDEN,theft,08/02/15,15:39,1.731624057,0,63,
BURARI,theft,10/07/16,11:51,11.3338763,1,75,
I.P. ESTATE,theft,11/09/13,15:51,9.253420865,0,98,
MAHENDRA PARK,theft,20/11/16,7:04,2.463668046,0,25,
KHYALA,theft,04/08/12,23:37,2.093069914,1,47,
MUKHERJI NAGAR,theft,11/11/15,14:57,6.149745104,1,20,
MANGOLPURI,theft,19/10/16,21:43,2.980192322,1,30,
NEW ASHOK NAGAR,theft,08/03/14,15:37,3.300804937,1,22,
TIMARPUR,theft,10/11/13,23:01,6.149745104,0,67,
KN KATJU MARG,theft,18/02/14,9:56,8.251478933,1,60,
PUNJABI BAGH,theft,24/06/14,18:09,2.57731064,1,6,
BAWANA,theft,24/06/13,4:53,40.32792292,1,95,
HARSH VIHAR,theft,30/11/14,16:09,2.572204895,1,40,
SONIA VIHAR,theft,12/06/13,21:41,4.453887398,1,48,
HARSH VIHAR,theft,18/07/12,11:45,2.572204895,0,31,
MAURICE NAGAR,theft,07/04/14,15:35,6.149745104,1,60,
SADAR BAZAR,theft,07/01/15,0:05,2.975208719,0,75,
HARSH VIHAR,theft,26/02/16,2:51,2.572204895,1,18,
CHANDNI MAHAL,sexual_harassement,25/10/13,0:45,5.570696132,1,31,
HARI NAGAR,theft,03/11/14,12:45,2.386161479,0,44,
DEFENCE COLONY,theft,15/05/12,20:07,2.480276534,1,83,
FARASH BAZAR,theft,12/05/13,22:12,1.721757744,1,50,
KRISHNA NAGAR,rape,01/02/13,21:59,1.904048824,0,15,
CHANAKYAPURI,theft,21/03/16,3:57,10.99345252,1,21,
OKHLA,rape,16/04/12,18:59,1.71603619,1,78,
ASHOK VIHAR,theft,18/01/15,5:14,3.536288039,0,40,
TILAK MARG,robbery,07/06/16,7:59,3.748441999,1,0,
PARLIAMENT STREET,theft,15/04/12,14:55,5.266891996,1,84,
SONIA VIHAR,theft,18/06/14,14:38,4.453887398,0,47,
PRASHANT VIHAR,theft,22/03/15,3:08,2.076678927,0,77,
DARYA GANJ,theft,09/11/16,14:48,5.570696132,1,17,
JAHANGIR PURI,theft,03/01/14,17:06,2.463668046,0,12,
MAYA PURI,theft,26/01/13,16:19,2.553754816,1,94,
NEW ASHOK NAGAR,theft,15/06/14,4:10,3.300804937,1,12,
SARITA VIHAR,theft,08/06/16,16:14,6.171102991,1,85,
AMAN VIHAR,theft,29/03/13,11:29,3.296887934,0,83,
ANANDVIHAR,theft,27/06/12,6:17,4.558969692,1,14,
MANDIR MARG,theft,13/08/15,22:49,9.889059631,0,29,
NANDNAGARI,theft,18/03/12,13:22,2.02815697,1,77,
DABRI,theft,07/11/14,19:35,3.401013428,1,76,
SHALIMAR BAGH,theft,13/10/13,21:02,1.28161156,1,83,
DEFENCE COLONY,theft,09/04/14,17:15,2.480276534,0,75,
MANSAROVAR PARK,theft,14/07/16,21:03,2.231365619,1,12,
MANDIR MARG,theft,25/09/14,22:27,9.889059631,0,37,
I.P. ESTATE,theft,18/08/12,21:17,9.253420865,1,92,
TIMARPUR,robbery,22/11/13,8:12,6.149745104,0,19,
KARAWAL NAGAR,theft,22/07/12,7:29,2.937546578,1,67,
BURARI,theft,19/07/14,2:24,11.3338763,0,32,
ANANDVIHAR,assualt_murders,25/02/12,22:25,4.558969692,1,73,
BAWANA,robbery,23/01/13,2:14,40.32792292,0,20,
RAJOURI GARDEN,theft,05/07/13,16:57,1.798942912,1,44,
NANGLOI,theft,25/11/12,4:40,2.253261514,0,31,
BAWANA,theft,04/10/16,22:33,40.32792292,0,34,
UTTAM NAGAR,theft,22/03/15,21:11,2.747375479,1,72,
FARASH BAZAR,theft,28/05/16,19:17,1.721757744,1,4,
ROHINI NORTH,theft,11/07/12,11:17,2.076678927,0,13,
JAMA MASJID,theft,13/08/14,1:47,3.817050224,0,91,
MUKHERJI NAGAR,theft,07/10/12,8:35,6.149745104,0,53,
SHAHBAD DAIRY,theft,20/08/16,17:50,49.82264953,0,96,
BARAKHAMBA ROAD,theft,07/11/15,14:24,3.748441999,1,65,
TUGLAK ROAD,theft,05/10/15,6:55,6.857849293,0,72,
BABA HARI DAS NAGAR,robbery,15/08/13,18:58,28.98213358,0,10,
TUGLAK ROAD,theft,26/08/12,19:27,6.857849293,1,7,
CHANDNI MAHAL,theft,03/04/12,5:18,5.570696132,1,0,
KALYANPURI,robbery,19/08/13,2:32,0.878452779,1,70,
BHAJANPURI,rape,29/09/15,6:19,10.15799164,0,25,
HAUZQAZI,theft,17/05/13,14:06,3.095888323,1,28,
ASHOK VIHAR,theft,13/03/16,13:38,3.536288039,0,52,
HAUZ KHAS,theft,20/10/15,22:43,2.436526458,1,75,
CHHAWLA,theft,19/03/15,19:42,26.30944559,1,13,
NEW FRIENDS COLONY,theft,15/05/13,0:10,4.04538671,0,77,
AMAR COLONY,sexual_harassement,19/06/15,10:03,1.505936692,0,28,
ANANDVIHAR,theft,29/11/16,23:59,4.558969692,1,32,
MOTI NAGAR,theft,29/04/15,4:27,3.148605142,0,18,
NEW ASHOK NAGAR,theft,30/03/15,10:05,3.300804937,0,69,
SULTAN PURI,theft,08/04/12,14:10,1.975070373,0,45,
PUNJABI BAGH,theft,05/06/16,22:40,2.57731064,1,99,
D.B.G ROAD,theft,30/11/12,16:43,1.643641889,0,30,
KHYALA,theft,26/03/12,8:46,2.093069914,0,77,
ADRASH NAGAR,theft,11/11/16,21:27,1.646190527,1,77,
PREETVIHAR,theft,26/06/15,18:08,2.272578698,0,39,
SULTAN PURI,robbery,21/05/13,10:40,1.975070373,1,30,
MIANWALI NAGAR,theft,28/06/16,7:27,1.729847853,1,68,
BAWANA,robbery,09/05/15,23:05,40.32792292,0,20,
HAUZQAZI,theft,22/09/12,16:52,3.095888323,0,49,
BEGUM PUR,theft,02/01/14,5:23,35.4901909,1,86,
PRASHANT VIHAR,theft,15/06/16,15:03,6.857849293,0,31,
KRISHNA NAGAR,theft,04/06/16,1:07,1.904048824,0,25,
VASANT KUNJ NORTH,theft,23/10/12,6:57,14.1053716,1,65,
